% 1. Title: Question answer dataset
% 
% 2. Sources:
%      (a) Creator: Pooja lodhi
% 3. Attribute Information:
%	1. sentence 
%	2.type of question: (1)what , (2)what-happen , (3)where , (4)when

@RELATION question-tag

@ATTRIBUTE sentence	string
@ATTRIBUTE questiontag	{what, what-happen, where, when}

@DATA
'Sheet erosion is the transport of loosened soil particles by overland flow',what
'Major shopping malls include Select Citywalk, DLF Promenade, DLF Emporio, Metro Walk and Ansal Plaza.',what
'Buses are the most popular means of road transport catering to about 60% of Delhi total demand.',what
'‘My Account’ is a one stop for all the information related to your order',what
'Light is electromagnetic radiation within a certain portion of the electromagnetic spectrum.',what
'The word usually refers to visible light, which is visible to the human eye and is responsible for the sense of sight.',what
'A scientist who studies physics is known as a physicist.',what
'The surface area of an average-sized brick is 79 cm squared.',what
'Visible light is usually defined as having wavelengths in the range of 400–700 nanometres (nm), or 4.00 × 10−7 to 7.00 × 10−7 m.',what
'This wavelength means a frequency range of roughly 430–750 terahertz (THz).',what
'The speed of light in a vacuum is defined to be exactly 299,792,458 m/s',what
'Members cost for the dinner is $10.00 for members and students, and $15.00 for non-members.',what
'Distance from Airport to hotel is approximately 20 minutes',what
'Pomology is the science of apple-growing.',what
'Malusdomesticaphobia is the fear of apples.',what
'The bowler objectives are to prevent the scoring of runs and to dismiss the batsman.',what
'An over is a set of six deliveries bowled by the same bowler.',what
'A group of toads is often called a knot.',what
'Child abuse or child maltreatment is physical, sexual, or psychological mistreatment or neglect of a child or children, especially by a parent or other caregiver.',what
'Its purpose was to formulate and execute research and development projects to expand the frontiers of technology and science, with the aim to reach beyond immediate military requirements.',what
'The Defense Advanced Research Projects Agency (DARPA) is an agency of the U.S. Department of Defense responsible for the development of emerging technologies for use by the military.',what
'Airtel Movies is a free video app available on Android and iOS in which you can stream and download unlimited Movies, TV shows, Music videos and Popular video clips across Bollywood, Regional and International content.',what
'Bicarbonate ions are crucial for regulating blood pH.',what
'A person breathing rate influences the level of CO2 in their blood.',what
'Poor ventilation is one of the main causes of excessive CO2 concentrations in closed spaces.',what
'breathing is stimulated by higher carbon dioxide levels.',what
'Breathing that is too slow or shallow causes respiratory acidosis',what
'SBF is normally used for the surface modification of metallic implants',what
'Oxygen is a chemical element with symbol O and atomic number 8.',what
'The Java DT is a very useful tool, used by Java applets and applications to help manage getting the right version of Java for a user system.',what
'The bat is made of wood (usually White Willow) and has the shape of a blade topped by a cylindrical handle.',what
'Pteronophobia is the fear of being tickled by feathers',what
'Convex mirror is used as rear view in cars.',what
'Concave mirror is used for headlights of cars.',what
'A flock of crows is known as a murder.',what
'Cherophobia is the fear of fun.',what
'The court is 29.5 feet x 59 ft',what
%---what :33
%----------------------------------------------------------------
'Early registration ends 1 March 2017.',when
'It was discovered in 1766 by Henry Cavendish.',when
'The Pinocchio paradox was thought of in February 2001',when
'On April 4, 2013, Christopher Abbott left the series',when
'HBO renewed the series for a second season of ten episodes on April 30, 2012.',when
'In Australia, it premièred on Showcase on May 28, 2012.',when
'the Eastman Kodak Company that was founded in 1888',when
'The first every digital camera to be created was in December 1975.',when
'29th May is officially “Put a Pillow on Your Fridge Day“.',when
'William Marston engineered one of the earliest forms of the polygraph in the early 1900',when
'The Vatican city registered 0 births in 1983',when
'The festival "Momotesai" is held here on January 20.',when
'The Solar System formed around 4.6 billion years ago.',when
'in case of loss of cabin pressure, to apply the oxygen mask to themselves first before helping others',when
'Seminar on Anti- Counterfeiting - Protecting the interest of the Brand Owners through Criminal and Customs Enforcement on March 25, 2017.',when
'The timings are 11:45am – 01:45pm.',when
'He is elevated as Permanent Judge of High Court of Delhi on November 08, 2016.',when
'In July 2014 he was posted as Registrar (Vigilance) High Court of Delhi, New Delhi.',when
'He became District & Sessions Judge (North), in March 2013',when
'Mr. Justice Chander Shekhar born on January 26, 1958',when
'The warm season lasts from 9 April to 8 July with an average daily high temperature above 36 °C (97 °F).',when
'The ICICC conference is to be held on 2-4 August,2017',when
'built in 1732, it was the seat of the Peshwa rulers of the Maratha Empire until 1818.',when
'In February 2014, the Government of India approved Delhi bid for World Heritage City status.',when
'the Government of India withdrew its nomination on 21 May 2015.',when
'A team from UNESCO was scheduled to visit Delhi in September 2014 to validate its claims.',when
'In 1846, Dow spoke before the legislature in favor of statewide prohibition.',when
'The first game of Austus was played on 18 July 1943',when
'Several more games were played as exhibitions in 1943 and 1944.',when
'By May 21, the town was surrounded.',when
'The earliest human settlements in Russia arose around A.D. 500',when
'In April 2013, President Barack Obama announced a scientific grand challenge known as the BRAIN Initiative',when
'In March 2013, the project backers outlined their goals in the journal Science.',when
'On June 30, having healed enough to mount a horse again, Dow visited his troops.',when
'Delhi Metro completed 10 years of operation on 25 December 2012.',when
'it is first recorded in south-east England in the 16th century.',when
'Inside the Bermuda Triangle, US Government has AUTEC which is located on the Andros Island of Bahamas.',where
'Bermuda triangle is a very mysterious area on the Atlantic Ocean',where
'between 1720 and 1761 the maratha empire expanded',when
'The citrus soda 7-UP was created in 1929',when
'The average person falls asleep in seven minutes.',when
'On June 6, 1959, Florida took delivery of the only “missile mail” in history',when
'The current Constitution of Florida was ratified on November 5, 1968.',when
'It spread globally with the expansion of the British Empire, leading to the first international matches in the mid-19th century.',when
'The court in Guildford heard on Monday, 17 January 1597',when
'Typically it take 2 – 3 days for all metros & Tier 1 cities.',when
'Tier 2 & 3 cities may take 3 to 5 days.',when
'Construction on the Lal Mahal began in 1631 AD',when
'The cigarette lighter was invented before the match.',when
'Ketchup was used as a medicine back in the 1930.',when
'The Lal Mahal was completed in 1640 AD',when
'Dow was born in 1804 to a Quaker family in Portland, Maine.',when
'In 1850, Dow was elected president of the Maine Temperance Union, and the next year he was elected mayor of Portland.',when
'In 1880, Dow headed the Prohibition Party ticket for President of the United States.',when
'They married on January 20, 1830.',when
'Pune was known as Punawadi in 13th century',when
'Pune was the Jagir granted to Maloji Bhosale in 1599',when
'Chhatrapati Shahu succeeded to the Maratha throne in 1707',when
'In 1720, Baji Rao I was appointed Peshwa (Prime Minister) of the Maratha Empire',when
'The Peshwa rule ended with the defeat of Peshwa Bajirao II in 1818',when
'Early bird registrations will start from 29th August uptill 30th September 2016',when
'Special session will be held on 17th November 2016 which will be worth 2.5 additional PDUs',when
'Registrations open on 29th August 2016 and close on 31st October 2016',when
'Social hour will begin at 6:00 PM and dinner will be served at 7 PM to allow time for those arriving from work.',when
'Obama was born on August 4, 1961',when
'Website established on June 13, 1998',when
'Last updated partially on March 09, 2017',when
'Last date for submission of Camera-Ready Manuscript is November 30, 2016.',when
'The Last Date of Submission of Registration Fee is 25th November, 2016.',when
'Obama formally announced his candidacy in January 2003.',when
'When the first proteins were rationally designed during the 1970s and 1980s',when
'In fall 2011, DARPA hosted the 100-Year Starship Symposium',when
'In February 2011, protests in Libya began against long-time dictator Muammar Gaddafi as part of the Arab Spring.',when
'Barack Obama presidency ended at noon on January 20, 2017',when
'Charm quarks were produced almost simultaneously by two teams in November 1974',when
'In ancient times, numbers in Latin were written only with letters.',when
'Girls is an American television series on April 15, 2012.',when
'Girls sixth and final season premiered on February 12, 2017',when
'In 1977, the bottom quark was observed by a team at Fermilab led by Leon Lederman.',when
'DARPA was created in February 1958 as the Advanced Research Projects Agency',when
'The Republic of Venice was founded in 697',when
'The Annual Management Festival of the institution is generally held in second week of February every year.',when
'In September 2008, Houston was hit by Hurricane Ike.',when
'KMC first international relationship was established in 1975 with the city of Eugene, Oregon, United States.',when
'The Paper Deadline is now extended to the 23rd of November.',when
'In 2006 someone tried to sell New Zealand on eBay.',when
'Apple launched a clothing line in 1986.',when
'Acceptance notification will now be on December 15th.',when
'The upcoming conference will be hosted at IIT Delhi from 2 Mar - 4 Mar, 2017.',when
'The ORCID principles were published in December 2010.',when
'The first meeting of the Central Grant-In-Aid Committee of SPQEM for the year 2010-11 held on 21st September, 2010',when
'On 31 May 2016, the Digital Health unit was founded.',when
'According to 2011 census, Delhi city population was about 11 million',when
'Delhi hosted the first and ninth Asian Games in 1951',when
'Delhi was ranked as world most polluted city in 2010.',when
'In 2011 Corona FootVolley European Tour was upgraded to Corona FootVolley World Tour inviting teams from all over the world to play.',when
'In November 2014, Nokia Technologies launched their first product, the Nokia N1 Android 5.0 tablet computer manufactured by Foxconn.',when
'The second edition – IEEE Bombay Section Symposium (IBSS-2016) organised as one of the special events celebrating “40 years of Bombay Section” was held during 20 – 22 December, 2016.',when
'Last date for registration to CPT June 2017 Course with BOS is 1st April, 2017',when
'The station was opened with the first section of the Line on 3 October 2010 in time for the Commonwealth Games opening ceremony on the same day.',when
'The National Science Centre established in 1992, is a science museum in Delhi, India.',when
'It was inaugurated on 3 November 1972 by then Prime Minister Indira Gandhi',when
'The first Science Museum under this Council, the Birla Industrial & Technological Museum came up on 2 May 1959 at Calcutta.',when
'It is open all seven days a week from 10:00 AM to 5:30 PM except on the Indian Festival days of Holi and Diwali.',when
'You can cancel the order within 1 hour from the time it was placed.',when
'The alpha version of Telegram for Android officially launched on October 20, 2013.',when
'It was released in June 2003',when
'The Black Eyed Peas featuring The World was released on August 31, 2016',when
'On 1st August 1851 he established the Rahnumae Mazdayasne Sabha to renovate the Zoroastrian religion.',when
'Naoroji set off for England on June 27,1855 to be a part of the production firm of the mercantile Cama family.',when
'Governor Lawton Chiles founded Florida House in 1973.',when
'In 1883 he was re- elected to the Bombay Municipal Council.',when
'In 1855, dentist Robert Arthur was the first to use gold to fill cavities.',when
'Sugar was first added to chewing gum in 1869',when
'Leonardo began painting the Mona Lisa in Florence around 1503',when
'The Ark of the Covenant was last seen in 586 BC.',when
'The Poona Municipality was established in 1858',when
'In late 1896, Pune was hit by bubonic plague',when
'In 1891, Tesla became a citizen of the United States.',when
'Dadabhai Naoroji left for his heavenly abode on June 30, 1917.',when
'2017 Donald John Trump became president',when
'Admit Card can ONLY be downloaded from http://appsgate.iitr.ac.in/ from 5th January 2017.',when
'the American Civil War end in year 1865',when
'1954 was Elvis first ever concert',when
'he cold season lasts from 11 December to 11 February with an average daily high temperature below 18 °C (64 °F).',when
'From April to October the weather is hot.',when
'The highest temperature recorded in July was 45 °C (113 °F) in 1931.',when
'The Gujarat Section, a sub section of Bombay Section, was upgraded to full fledged section on 15th August 1990.',when
'In 2004 Gujarat Section was adjudged the Outstanding Small Section of Region 10.',when
'IEEE Delhi Section, which started on May 13, 1976',when
'Chandrayaan-1 was launched on October 22, 2008',when
'The first successful launch of SLV-3 took place on July 18, 1980 from SDSC SHAR.',when
'India first indigenous sounding rocket, RH-75, was launched on November 20, 1967.',when
'ISRO was formed on August 15, 1969.',when
'Department of Space (DOS) and the Space Commission were set up in 1972.',when
'ISRO was brought under DOS on June 1, 1972.',when
'It escalated in popularity during the late 1940s',when
'In 1952-53, Wildroot Cream-Oil was the sponsor.',when
'On August 27, 1990, Vaughan was killed in a helicopter crash',when
'Carbon dioxide was first liquefied (at elevated pressures) in 1823 by Humphry Davy and Michael Faraday.',when
'He won the 1921 Nobel Prize in Physics for this work.',when
'We came to this place five years ago.',when
'last date of assigment subbmission is 7th jan 2016',when
'The company was founded on April 1, 1976',when
'the scheme was established in 1975',when
'RIT act was passed in 2005',when
'DFL mall opened in year 2016',when
'india won worldcup in 2011',when
'Last date to apply for sports scholarship is : 10th June, 2016.',when
'The heaviest hailstone was recorded on April 14, 1986.',when
'His father died in 1651.',when
'In 1451 Berlin gave up its status as a free Hanseatic city.',when
'the An Shi Rebellion launched in 755 AD',when
'Yuan Shikai died in 1916',when
'the first educational works appear for the cello in the 18th century',when
'Charles-Augustin de Coulomb born on June 14, 1736',when
'the pan flute spread to other parts of Europe in 7th century BC',when
'Anders Celcius publish his observations on the aurora borealis in 1733',when
'it was opened on 20 October 1995',when
'Late Spring or Early Summer wolf molt',when
'Nutella was invented during WWII',when
'In 1493, Columbus thought he saw mermaids.',when
'books are issued on weekdays',when
'college is closed on sunday',when
'the office is open on Saturdays',when
'this practice was discontinued after some babies were blinded by the oxygen content being too high.',when
'Le Figaro was founded in 1826',when
'The International Boxing Association was established in 1920.',when
'In 1993 the first Pancrase event was held.',when
'The official Lunch Break is between 1:00 p.m. to 1:30 p.m.',when
'The Taj Mahal is a beautiful monument built in 1631',when
'16th Mar to 18th Mar 2017 there is National Workshop on Wireless Sensor Networks and applications',when
'The film screened at the Cannes Film Festival in May 1977',when
'It also played in New York City in September 1977',when
'The Criterion Collection released the film on Blu-ray on 13 October 2015',when
'He entered the film industry as a screenwriter in 1953',when
'In 1974 Scola enjoyed international success with We All Loved Each Other So Much',when
'lunch break is at 4:00 p.m.',when
'1957 Ghana achieve independence from the United Kingdom',when
'Qatar become an independent state in September 3, 1971',when
'Proto-Uralic language arrived in Finland around 1900 BCE.',when
'it is recommend that you register 3 to 4 months before your desired test date to reserve your seat.',when
'Start preparing for the test at least 8 weeks before your test date.',when
'The Gift Card email is typically sent to the recipient within 24 hours of your purchase.',when
'He entered the film industry as a screenwriter in 1953',when
'In 1974 Scola enjoyed international success with We All Loved Each Other So Much',when
'lunch break is at 4:00 p.m.',when
'Liechtenstein adopted current constitution on October 1921',when
'16th Mar to 18th Mar 2017 there is National Workshop on Wireless Sensor Networks and applications',when
'The film screened at the Cannes Film Festival in May 1977',when
'It also played in New York City in September 1977',when
'Last date to apply for all PG programmes 23 Mar 2017',when
'The Criterion Collection released the film on Blu-ray on 13 jan 2010',when
'The first records of settlement in Singapore are from the second century AD.',when
'1959 Lee Kuan Yew became prime minister of Singapore',when
'President Kennedy killed was killed on 1963',when
'Jaypee Institute of Information Technology, was established in the year 2001',when
'He died in 2006.',when
'Abstract Submission date 22nd Nov 2016',when
'Early Bird Registration will close on 15th Jan 2017',when
'PMB confrence is from 2 to 6 feb 2017',when
'in 1917 raised billions through Liberty loans',when
'Michael Faraday born on September 22, 1791',when
'Registrations are open till March 21st.',when
'Lima was founded on January 18,1535',when
'May 2006 Arsenal FC leave Highbury stadium',when
'The institution opened in 1891 on Stanford previous Palo Alto farm.',when
'The school admitted its first students 126 years ago on October 1, 1891',when
'The Admission procedure may last till late in the evening.',when
'The area became a part of Mexico in 1821 following its successful war for independence',when
'Tuition and fees can be paid immediately upon registration, but no later than Monday, Sept. 12',when
'The first time a pie was thrown in someone face on film was in 1909.',when
'Pulse presents Millind Gaba performing LIVE on 4th FEB at 6:00PM.',when
'It was designated a UNESCO World Heritage Site in 2007 as part of the Red Fort Complex',when
'Emperor Shah Jahan commissioned construction of the Red Fort on 12 May 1639, when he decided to shift his capital from Agra to Delhi.',when
'They were built 500 years ago.',when
'The first Otorii of Itsukushima Shrine was constructed in 1168',when
'Designated as a Specially Preserved Building on April 5, 1899.',when
'Designated as a National Important Cultural Property on December 26, 1963.',when
'In 1874, Ernst Haeckel divided the animal kingdom into two subkingdoms: Metazoa (multicellular animals) and Protozoa (single-celled animals)',when
'In 1871 pirates seized a Penang junk, murdered its passengers and crew, and took the stolen vessel to Selangor.',when
'Stanford University was founded in 1885 by Leland and Jane Stanford, dedicated to Leland Stanford Jr, their only child.',when
'The Stanford Medical Center, completed in 1959, is a teaching hospital with over 800 beds.',when
'The SLAC National Accelerator Laboratory which was established in 1962, performs research in particle physics.',when
'The period for enrolment for this year ends on 30 June 16.',when
'Note that the cut-off date for enrolment for the current year is 30th June 2016.',when
'A policy taken this year will expire on 31Dec16.',when
'In 2008, 60% of this land remained undeveloped.',when
'In 2015 the university announced a development plan.',when
'In the 1950s Valentino and Nino Cerruti led the world with their stylish creations.',when
'The Hambledon Club was founded in the 1760s',when
'Persis Drell became the 13th Provost in February 2017.',when
'The term gas giant was coined in 1952 by the science fiction writer James Blish',when
'Between 1900 and 1920, Tug of War was an Olympic event.',when
'There is a reverse migration in the spring.',when
'The pre-dinner reception starts at 5:30 PM; dinner will begin at 6:30 and will be followed by the presentation.',when
'RESERVATIONS ARE REQUIRED, and must be received by February 12th.',when
'Increasing temperatures tend to increase evaporation which can lead to more precipitation.',when
'Rain becomes acidic primarily due to the presence of two strong acids, sulfuric acid (H2SO4) and nitric acid (HNO3).',when
'The Thomas Welton Stanford Gallery, built in 1917, serves as a teaching resource for the Department of Art & Art History as well as an exhibition venue.',when
'Recently, in December 2015, CSI celebrated its Golden Jubilee celebration',when
'The International Conference on Information, Communication and Computing Technology (ICICCT-2017) will be held on May 13, 2017',when
'Conference Dates	May 13, 2017',when
'Acceptance Notification	April 04, 2017',when
'In 1862, an English team made the first tour of Australia.',when
'Test cricket began to expand in 1888–89 when South Africa played England.',when
'At the end of the Antiquity period, ancient Gaul was divided into several Germanic kingdoms',when
'The area was annexed in 51 BC by Rome',when
'In 2006, astronomers changed the definition of a planet.',when
'The first man made object sent into space was in 1957',when
'The Uffizi Gallery in Florence was founded in 1560',when
'The Leaning Tower of Pisa was built in 1173',when
'The national team has won two Olympic Silver Medals: in 2000 and 1948.',when
%--- when :22
%------------------------------------------------------------------
'If the batsman hits the ball but it is caught by a fielder without bouncing then he is caught out.',what-happen
'If it is caught by the bowler then he is caught and bowled',what-happen
'If it is caught by the wicket keeper then he is caught behind.',what-happen
'When the IRS processes your tax return and approves your refund, you can see your actual personalized refund date.',what-happen
'If you continue to receive messages about payment errors, contact your financial institution to verify that your payment account is active and verified internationally.',what-happen
'When heated above 825 °C, calcium carbonate converts calcium oxide',what-happen
'When added to water, quicklime vigorously reacts to form calcium hydroxide',what-happen
'After paying registration fees, author will have to scan proofs of transaction and upload these to easychair account',what-happen
'After confirmation on your Admission Microsite about receipt of your Form, it will normally be processed within 5 working days',what-happen
'If you plan on bringing a pet to the building, you will be solely responsible for any injury or damage caused by your pet to other members or their property.',what-happen
'If your team has VoIP phone service that you’d like to maintain, simply plug into the ports in your office at no additional charge.',what-happen
'If you would like to add mail and package handling, please reach out to the local Community team at your desired location.',what-happen
'If you would like to have a guest work with you for the day, you are welcome to reserve a conference room.',what-happen
'If you are not sure how to contact the help desk, look for the technology office on your institutions website.',what-happen
'A dismissed batsman must leave the field, and a teammate replaces him.',what-happen
'You would not be able to view confirmation numbers if your institution uses an older version of Blackboard Learn.',what-happen
'If a fielder retrieves the ball quickly enough to put down the wicket with a batsman not having reached the crease at that end of the pitch, that batsman is dismissed',what-happen
'After either ten batsmen have been dismissed or a fixed number of overs have been completed, the innings ends and the two teams then swap roles.',what-happen
'At the start of each game, two batsmen and eleven fielders enter the field of play.',what-happen
'If you can not and made a mistake, you must contact your instructor to ask for the opportunity to resubmit the assignment.',what-happen
'The learner may apply for correction to the Regional Director of his/her region within 30 days of declaration of results, if any discrepancy is found in the result.',what-happen
'In case a learner appears exam at an exam centre other than that allotted, then the result will not be declared and case will be treated as having resorted to unfair means.',what-happen
'If learner passes in practical but fails in the theory of a subject, his/her practical marks will be retained and he/she can appear again only in theory papers.',what-happen
'after the loans are paid off, your servicer will communicate and work with you to ensure the successful repayment of your new Direct Consolidation Loan.',what-happen
'If you select the Standard, Graduated, Extended Fixed, or Extended Graduated repayment plan, you would not need to take additional action.',what-happen
'We will e-mail you and explain that your consolidation servicer will contact you after reviewing your application and your eligibility for the repayment plan you selected.',what-happen
'If PLUS Credit Counseling is completed voluntarily and you are determined to have an adverse credit history by the U.S. Department of Education within 30 days of PLUS Credit Counseling completion, your PLUS Credit Counseling requirement will be considered to be fulfilled.',what-happen
'To view or print a completed Master Promissory Note (MPN), you will need the free Adobe Acrobat Reader.',what-happen
'If you do not have an FSA ID you would not be able to log in to StudentLoans.gov, or other Federal Student Aid sites.',what-happen
'If you enroll in college as a freshman and borrow under the Direct Loan Program for all years of study, you may be able to borrow under this one MPN for all academic years.',what-happen
'If you do not want to receive more than one federal student loan under the same MPN, you must notify your school or your loan servicer in writing each academic year.',what-happen
'In case of any unauthorized shelter, the student will be liable to disciplinary action.',what-happen
'when it is raining we use umbrella',what-happen 
'when it is cold outside we we need to wear a coat',what-happen 
'when riding in a car we wear a seatbelt',what-happen 
'Unauthorized occupation / shelter to any outsider will be reported to local administration for suitable action.',what-happen
'You may be dropped from your classes if your account is not paid or other payment arrangements have not been made by the fee payment deadline.',what-happen
'Students violating any of the above guidelines will face disciplinary action in which case the decision of Competent authority is final and binding.',what-happen
'Student found indulged in ragging may be expelled from the Hostel as well as the Institute.',what-happen
'FIR will also be lodged against student indulging in ragging.',what-happen
'All students must be present in their respective hostels as per specified times unless specifically permitted to stay out in the night and for a specific reason in writing by the Warden/Dean of Students Welfare.',what-happen
'Any student, who does not occupy the Hostel room allotted to him within seven days of his registration, shall lose the Hostel seat and the same may be allocated to the next student in the queue.',what-happen
'Seedlings are generally transplanted when the first pair of true leaves appear.',what-happen
'A shade may be provided if the area is arid or hot.',what-happen
'A commercially available vitamin hormone concentrate may be used to avoid transplant shock',what-happen
'Contact the cookie baker if for any reason you are not satisfied with a package of Girl Scout Cookies you purchased.',what-happen
'All messages in secret chats use end-to-end encryption. This means only you and the recipient can read those messages',what-happen
'If a Gift Card has not arrived within a reasonable time-frame please ensure that recipient checks e-mail Spam/Junk inbox before contacting Myntra Customer Support Team.',what-happen
'I return an item purchased using the PhonePe wallet then Partial or full Payment made through PhonePe wallet will be refunded to the same PhonePe wallet account.',what-happen
'If you return the product the applicable VAT amount will also be refunded into the source account selected at the time of return initiation.',what-happen
'if a physical calculator is found in my possession in the examination hall then that will lead to disqualification of the candidature.',what-happen
'In those instances when you cannot avoid being late for work you must notify your departmental administrator within the first hour of the workday',what-happen
'student with grades in between A(+) to D, are declared pass',what-happen
'students failing in the subject will be awarded F grade',what-happen
'student with minimum CGPA of 6.5 can only be mentors',what-happen
'Application Form will not get submitted in the absence of the required documents.',what-happen
'The form may be rejected due to discrepancy in the supporting documents, or any other valid reason.',what-happen
'Incomplete Forms will be rejected.',what-happen
'if failed supplemetary exam student get back',what-happen
'after failing supplemetary exam student get back',what-happen
'student have to take summer semester after getting back',what-happen
'student have to pay fine on returing book late',what-happen
'student have to pay fine on braking rules',what-happen
'If it is caught by the bowler then he is caught and bowled',what-happen
'student who have not given T1 have to take makeup exam',what-happen
'student who have not given T2 have to take makeup exam',what-happen
'student with attendence less than 60 precent get debarred',what-happen
'Poor attendance may lead to disciplinary action',what-happen
'Without the Sun, there would be no life on Earth',what-happen
'excessive tardiness may lead to disciplinary action',what-happen
'Unauthorized delay; Professional staff have no grace period whatsoever, in the reporting time',what-happen
'A serious view will be taken if the Muster is defaced',what-happen
'A serious view will be taken if the incorrect data is recorded in it',what-happen
'salary may be deducted for habitual late arrival',what-happen
'Failure to attend work for any reason, including those beyond the control of the employee will be considered as Leave',what-happen
'If we take away risk, then capitalism is finished',what-happen
'If we turn of the water in the shower, then the water will stop pouring.',what-happen
'If you eat a whole pint of ice cream, then you would not be hungry',what-happen
'if you avail more leave than is accrued to you, then you will be deemed to be on leave-without-pay',what-happen
'The unauthorized downloading or transferring of copyrighted materials may subject the user to University disciplinary action',what-happen
'The unauthorized downloading or transferring of copyrighted materials may subject the user to civil and criminal penalties',what-happen
'Becquerel accidentally discovered radioactivity in 1896',what-happen
'The indonesian archipelago became an important trade region when the srivijaya kingdom formed trade links',what-happen
'If you believe the concern is life threatening, call your University police',what-happen
'If they hear you complaining about your country, they will tell you that you should not live there at all.',what-happen
'If you believe the concern is life threatening, call your security department',what-happen
'If you are over the age of 21, you may consume alcoholic beverages at official University functions on campus',what-happen
'If Henri Becquerel was alive today then he would be 157 year old',what-happen
'Once their lungs are present, the tadpoles are able to breathe air and live on land as well as water.',what-happen
'if we use boiling water on the queen of red fire ants then the nests of red fire ants may be destroyed',what-happen
'red fire ants die if we use boiling water on the queen',what-happen
'If a wing is removed the other three will grow to a larger size.',what-happen
'when a stream of air directed across a hole in the instrument it creates a vibration of air at the hole',what-happen
'during the period of Late Heavy Bombardment a very large number of the impact craters on the Moon would have formed',what-happen
'He did not pay his taxes in time, as a result, he was given a penalty !',what-happen
'I missed the bus and was late to work as a consequence.',what-happen
'I missed the bus and was late to work as a result.',what-happen
'The consequence of failing to report missing stock will be termination.',what-happen
'The molecule has bulky substituents in the ortho positions; as a result, the eclipsed rotamer is energetically disfavored.',what-happen
'The electron deficiency is a consequence of the presence of the electron-withdrawing group.',what-happen
'Someone called in a bomb threat. As a result, school was cancelled.',what-happen
'The athlete was caught using drugs consequently, he was kicked off the team.',what-happen
'if you are not a facebook user its not a problem you can keep using WhatsApp.',what-happen
'When you block people on WhatsApp, you will no longer receive WhatsApp messages, calls or status updates from them.',what-happen
'After the download has completed, go to the location that you saved the file at and double click on the new icon to start the installation.',what-happen
'If you become disconnected while files are being downloaded through your web browser, reconnect to the internet and retry your download.',what-happen
'If you need to make a change to your name or date of birth, contact TOEFL Services',what-happen
'Loss of I-card may invite fine in disciplinary grade or monetary fine as decided from time to time.',what-happen
'If in a particular class/period more than 50% students are absent, it would be regarded as mass absenteeism and an act of indiscipline.',what-happen
'Disciplinary action will be taken on the students indulging in mass absentees.',what-happen
'Violence by any student or group of students will lead to severe disciplinary action.',what-happen
'in case there is payment delay of beyond 7 days, Simpl can charge a late penalty of upto Rs. 250.',what-happen
'In case a user informs us about any issue s/he is facing, we withhold the late penalty.',what-happen
'If your spending limit has reduced, it is mostly due to repeated delayed payments to Simpl.',what-happen
'If it rains then climate get cold',what-happen
'if come late then get punishment',what-happen
'Remember, if your router does not have a UPnP setting, you will have to port forward.',what-happen
'Note that sometimes when testing your IP from within your network you may not be able to connect to it.',what-happen
'When the owner of a Lead record is changed from Unassigned to a specific User, the workflow rule fires.',what-happen
'student have to pay fine on late registration',what-happen
'when mother lose there chich they sometimes attempt to steal another chick',what-happen
'if this tunnel later fills with water or freezes, the damage is even more severe.',what-happen
'A natural levee is formed when the movement of water pushes sediment to the side of rivers and creeks.',what-happen
'If he hits me, I will kill him.',what-happen
'If the batsman is successful in striking the ball and it is not caught without bouncing, then the two batsmen may try to score points (runs) for their team.',what-happen
'If the batsman hits the ball over the field boundary without the ball touching the field, the batting team scores six runs.',what-happen
'If the ball touches the ground and then reaches the boundary, the batting team scores four runs.',what-happen
'The batsmen might have started running before the ball reaches the boundary, but those runs do not count.',what-happen
'In case of a no ball or a wide the batsman can choose to strike the ball, earning runs in addition to the fixed penalty.',what-happen
'When the batsmen have finished attempting their runs the ball is dead, and is returned to the bowler to be bowled again.',what-happen
'If the batsman misses the ball they can still attempt extra runs : these are called byes.',what-happen
'The ball becomes live when he starts his run up.',what-happen
'A batsman may retire from an innings without being dismissed, usually after reaching a milestone like a hundred runs',what-happen
'It is considered good luck in Japan when a sumo wrestler makes your baby cry.',what-happen
'If you try to suppress a sneeze, you can rupture a blood vessel in your head or neck and die.',what-happen
'Gorillas burp when they are happy',what-happen
'The umpires can also call an end to the match in case of bad light or weather.',what-happen
'The match ends when all innings have been completed.',what-happen
'if you have somebody‘s number saved as a contact and you send them a message, your number also becomes visible to them.',what-happen
'Anyone who claims that Telegram messages can be deciphered is welcome to prove that claim in our competition and win $300,000.',what-happen
'Therefore, if a council or troop has cookies left at the end of the sale, it is encouraged to work with local food pantries and other charitable organizations to distribute cookies as a special treat for people seeking food relief services',what-happen
'In case of cancellation by the event organizer MeraEvents will update it on the event listing and a personal mail will be sent to you.',what-happen
'If the event that you registered for is a paid event you will also be notified about the fee refund via email.',what-happen
'In case of any ticket cancellation, no refund will be granted.',what-happen
'Please email us at apply@teachforindia.org if you have additional queries.',what-happen
'Fred is Mike brother son therefore Fred is Mike nephew.',what-happen
'I have never thought of myself as a wise man, and therefore the prize is not for me',what-happen
'I missed the train; therefore I missed the party.',what-happen
'I missed the train, so I missed the party.',what-happen
'When you finish the first version of your code, click Run Code button to run your solution against one or more small sample test cases.',what-happen
'If a lot of people have already solved a challenge, the odds are that the issue is in your code.',what-happen
'During the absence of the Chair or while he or she is unable to act, the Vice Chair shall perform the duties and exercise the powers of the Chair.',what-happen
